Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides A	Peptides B	Peptides C	Razor + unique peptides A	Razor + unique peptides B	Razor + unique peptides C	Unique peptides A	Unique peptides B	Unique peptides C	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Identification type A	Identification type B	Identification type C	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L A	Ratio M/L normalized A	Ratio M/L variability [%] A	Ratio M/L count A	Ratio M/L iso-count A	Ratio M/L type A	Ratio H/L A	Ratio H/L normalized A	Ratio H/L variability [%] A	Ratio H/L count A	Ratio H/L iso-count A	Ratio H/L type A	Ratio H/M A	Ratio H/M normalized A	Ratio H/M variability [%] A	Ratio H/M count A	Ratio H/M iso-count A	Ratio H/M type A	Ratio M/L B	Ratio M/L normalized B	Ratio M/L variability [%] B	Ratio M/L count B	Ratio M/L iso-count B	Ratio M/L type B	Ratio H/L B	Ratio H/L normalized B	Ratio H/L variability [%] B	Ratio H/L count B	Ratio H/L iso-count B	Ratio H/L type B	Ratio H/M B	Ratio H/M normalized B	Ratio H/M variability [%] B	Ratio H/M count B	Ratio H/M iso-count B	Ratio H/M type B	Ratio M/L C	Ratio M/L normalized C	Ratio M/L variability [%] C	Ratio M/L count C	Ratio M/L iso-count C	Ratio M/L type C	Ratio H/L C	Ratio H/L normalized C	Ratio H/L variability [%] C	Ratio H/L count C	Ratio H/L iso-count C	Ratio H/L type C	Ratio H/M C	Ratio H/M normalized C	Ratio H/M variability [%] C	Ratio H/M count C	Ratio H/M iso-count C	Ratio H/M type C	Sequence coverage A [%]	Sequence coverage B [%]	Sequence coverage C [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity A	Intensity L A	Intensity M A	Intensity H A	Intensity B	Intensity L B	Intensity M B	Intensity H B	Intensity C	Intensity L C	Intensity M C	Intensity H C	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q15424;Q15424-2;B7ZLP6;A0AV56;F5GZU3;B7Z2F6;K7ES42;K7EII0	Q15424;Q15424-2;B7ZLP6;A0AV56;F5GZU3;B7Z2F6	11;11;11;11;8;8;3;1	11;11;11;11;8;8;3;1	8;8;8;8;5;5;3;1	Scaffold attachment factor B1	SAFB	>sp|Q15424|SAFB1_HUMAN Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4;>sp|Q15424-2|SAFB1_HUMAN Isoform 2 of Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB;>tr|B7ZLP6|B7ZLP6_HUMAN SAFB protein OS=Homo sapiens GN=SAFB PE=2 SV=1;>tr|A0	8	11	11	8	9	10	8	9	10	8	7	7	5	15.3	15.3	11.4	102.64	915	915;848;916;917;747;759;106;153	1	38	0	By MS/MS	By MS/MS	By MS/MS	0.995	1.1342	41.846	28	0	Median	0.64474	0.96017	35.964	28	0	Median	0.64328	0.81749	20.955	28	0	Median	0.60782	0.81464	19.878	10	0	Median	0.45654	0.83554	18.094	10	0	Median	0.73821	0.82742	21.84	10	0	Median	2.4394	1.2383	20.535	10	0	Median	1.4099	0.9966	13.089	10	0	Median	0.55226	0.7621	13.946	10	0	Median	0.995	1.4849	58.536	8	0	Median	0.64474	1.2332	55.448	8	0	Median	0.65488	0.90398	22.604	8	0	Median	11.6	14.4	10.1	195610000	60614000	80638000	54357000	58846000	26731000	17700000	14415000	57721000	11980000	28235000	17507000	79041000	21903000	34703000	22435000				0	87;137;224;225;700;1248;4055;4180;4835;5076;5229	True;True;True;True;True;True;True;True;True;True;True	90;141;230;231;727;1283;4192;4330;5001;5252;5412	271;272;273;274;275;453;814;815;816;817;818;819;820;821;822;823;824;825;2555;2556;2557;4486;4487;4488;15821;15822;16360;16361;16362;16363;18742;18743;19908;19909;20563;20564;20565;20566	508;509;510;511;842;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;5768;5769;5770;5771;5772;5773;5774;10252;10253;10254;10255;10256;10257;10258;10259;10260;10261;10262;10263;10264;10265;10266;37078;37079;38715;38716;38717;38718;38719;38720;38721;44019;44020;47284;48867;48868;48869	510;842;1778;1785;5771;10260;37079;38716;44019;47284;48868		
A0AV96;A0AV96-2;B7Z8Z7;D6R9D6;D6RBS9;D6REZ6;D6R9M7;D6RA49;D6RFL5;D6RBP6;D6RCT1;Q9NQ94;Q8TBY0;Q5T0W7;B3KWU8;B4DZ27;Q9NQ94-5;Q9NQ94-6;Q9NQ94-3;Q9NQ94-2;F8W9F8;Q9NQ94-4	A0AV96;A0AV96-2;B7Z8Z7;D6R9D6;D6RBS9;D6REZ6	20;18;18;17;12;11;9;7;7;6;2;1;1;1;1;1;1;1;1;1;1;1	20;18;18;17;12;11;9;7;7;6;2;1;1;1;1;1;1;1;1;1;1;1	20;18;18;17;12;11;9;7;7;6;2;1;1;1;1;1;1;1;1;1;1;1	RNA-binding protein 47	RBM47	>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2;>sp|A0AV96-2|RBM47_HUMAN Isoform 2 of RNA-binding protein 47 OS=Homo sapiens GN=RBM47;>tr|B7Z8Z7|B7Z8Z7_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=2 SV=1;>tr|D6R	22	20	20	20	18	19	18	18	19	18	18	19	18	50.1	50.1	50.1	64.098	593	593;524;555;393;217;193;159;124;137;114;59;594;533;201;470;485;510;539;569;586;587;594	1	69	0	By MS/MS	By MS/MS	By MS/MS	0.69878	0.886	24.84	60	0	Median	0.68105	0.98176	25.83	60	0	Median	0.83312	1.0377	17.174	60	0	Median	0.57876	0.74966	21.678	21	0	Median	0.51005	0.90419	19.818	21	0	Median	0.93925	1.0376	13.491	21	0	Median	1.8115	0.94857	22.396	18	0	Median	1.32	0.95298	24.561	18	0	Median	0.72356	0.944	7.9867	18	0	Median	0.67822	0.9682	18.947	21	0	Median	0.61463	1.1992	24.57	21	0	Median	0.83719	1.1776	18.598	21	0	Median	46	49.4	42.2	692780000	276720000	222610000	193450000	178690000	87166000	47832000	43692000	174960000	40732000	80066000	54164000	339130000	148820000	94710000	95597000				1	1083;1188;1189;1413;1956;2360;2366;2837;2840;2857;3066;3299;3510;3585;4265;4484;5246;5663;6435;6754	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1117;1223;1224;1448;2006;2427;2433;2914;2917;2935;3147;3386;3600;3678;4416;4641;5429;5859;6649;6976	3893;3894;3895;3896;4269;4270;4271;4272;5127;5128;5129;5130;5131;7266;7267;7268;7269;7270;9011;9012;9013;9033;9034;9035;10796;10797;10798;10806;10807;10866;10867;10868;10869;11687;11688;11689;11690;12531;12532;12533;13426;13427;13428;13794;13795;13796;16666;16667;16668;16669;16670;17547;17548;17549;20619;20620;20621;22336;25198;25199;25200;25201;25202;25203;25204;25205;26442;26443;26444	8944;8945;8946;8947;8948;8949;8950;9702;9703;9704;9705;9706;9707;9708;9709;9710;9711;9712;11775;11776;11777;11778;11779;11780;11781;11782;11783;11784;11785;16569;16570;16571;21214;21215;21216;21217;21276;21277;21278;21279;21280;21281;21282;21283;21284;25481;25482;25483;25484;25485;25486;25487;25503;25504;25505;25506;25689;25690;25691;25692;25693;25694;25695;25696;25697;25698;25699;25700;25701;25702;25703;25704;25705;25706;25707;25708;25709;25710;25711;25712;25713;25714;25715;25716;25717;25718;25719;25720;27650;27651;27652;27653;29462;29463;29464;29465;29466;29467;31714;31715;31716;31717;31718;31719;32570;39413;39414;39415;39416;41562;41563;48966;48967;48968;48969;48970;48971;48972;48973;48974;48975;52911;52912;59547;59548;59549;59550;59551;59552;59553;59554;59555;59556;59557;59558;59559;59560;59561;59562;59563;62356;62357;62358;62359;62360;62361;62362;62363;62364;62365;62366;62367;62368	8947;9704;9712;11784;16571;21217;21284;25481;25506;25690;27651;29466;31719;32570;39413;41562;48974;52912;59547;62363		
Q5HYZ1;A2ABB6	Q5HYZ1;A2ABB6	6;6	1;1	1;1		WDR46	>tr|Q5HYZ1|Q5HYZ1_HUMAN WD repeat-containing protein 46 (Fragment) OS=Homo sapiens GN=WDR46 PE=2 SV=2;>tr|A2ABB6|A2ABB6_HUMAN WD repeat-containing protein 46 (Fragment) OS=Homo sapiens GN=WDR46 PE=4 SV=1	2	6	1	1	4	5	5	1	1	1	1	1	1	33.5	6.8	6.8	35.759	322	322;322	1	4	0	By MS/MS	By MS/MS	By MS/MS	1.1447	0.93809	45.325	2	0	Median	0.78862	0.87734	85.888	2	0	Median	0.75244	0.97498	2.0971	2	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	25.5	29.2	26.7	17750000	5381900	7041700	5326700	2120400	0	1353400	767000	7158200	984410	3310400	2863400	8471800	4397500	2377900	1696300				2	550;1711;2162;2561;3578;5222	False;False;True;False;False;False	572;1756;2222;2631;3671;5405	2076;2077;2078;2079;2080;2081;6313;8278;8279;8280;8281;9720;9721;9722;9723;9724;9725;13774;13775;20532;20533;20534	4796;4797;4798;4799;4800;4801;4802;4803;4804;4805;4806;4807;4808;4809;4810;4811;4812;4813;4814;4815;14327;19521;19522;19523;19524;19525;19526;19527;19528;19529;22810;22811;22812;22813;22814;22815;22816;32546;32547;48782;48783;48784	4814;14327;19525;22814;32546;48784		
Q05048;A3KFI9	Q05048;A3KFI9	1;1	1;1	1;1	Cleavage stimulation factor subunit 1	CSTF1	>sp|Q05048|CSTF1_HUMAN Cleavage stimulation factor subunit 1 OS=Homo sapiens GN=CSTF1 PE=1 SV=1;>tr|A3KFI9|A3KFI9_HUMAN Cleavage stimulation factor subunit 1 (Fragment) OS=Homo sapiens GN=CSTF1 PE=4 SV=1	2	1	1	1	1	0	1	1	0	1	1	0	1	3.7	3.7	3.7	48.357	431	431;142	1	2	0.001368	By MS/MS	By matching	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.7	0	3.7	633570	633570	0	0	633570	633570	0	0	0	0	0	0	0	0	0	0				3	3368	True	3456	12930;12931	30646;30647	30647		
Q13868;A3KFL4	Q13868;A3KFL4	1;1	1;1	1;1	Exosome complex component RRP4	EXOSC2	>sp|Q13868|EXOS2_HUMAN Exosome complex component RRP4 OS=Homo sapiens GN=EXOSC2 PE=1 SV=2;>tr|A3KFL4|A3KFL4_HUMAN Exosome complex component RRP4 OS=Homo sapiens GN=EXOSC2 PE=4 SV=1	2	1	1	1	0	1	1	0	1	1	0	1	1	5.1	5.1	5.1	32.789	293	293;263	1	2	0	By matching	By MS/MS	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	5.1	5.1	3823400	0	0	3823400	0	0	0	0	2199200	0	0	2199200	1624100	0	0	1624100				4	3379	True	3467	12967;12968	30732;30733	30732		
A5YKK6;A5YKK6-4;A5YKK6-3;A5YKK6-2	A5YKK6;A5YKK6-4;A5YKK6-3;A5YKK6-2	1;1;1;1	1;1;1;1	1;1;1;1	CCR4-NOT transcription complex subunit 1	CNOT1	>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2;>sp|A5YKK6-4|CNOT1_HUMAN Isoform 4 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1;>sp|A5YKK6-3|CNOT1_HUMAN Isoform 3 of CCR4-NOT transc	4	1	1	1	1	0	0	1	0	0	1	0	0	0.4	0.4	0.4	266.94	2376	2376;1551;2150;2371	1	1	0	By MS/MS	By matching	By matching	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0.4	0	0	472190	0	472190	0	472190	0	472190	0	0	0	0	0	0	0	0	0				5	5354	True	5543	21104	50138	50138		
P56192;A6NC17	P56192;A6NC17	2;2	2;2	2;2	Methionine--tRNA ligase, cytoplasmic	MARS	>sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2;>tr|A6NC17|A6NC17_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=2 SV=3	2	2	2	2	0	0	2	0	0	2	0	0	2	3.9	3.9	3.9	101.11	900	900;635	1	2	0	By matching	By matching	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	0	3.9	2880000	2880000	0	0	0	0	0	0	0	0	0	0	2880000	2880000	0	0				6	2329;4324	True;True	2396;4477	8878;16918	20827;40123	20827;40123		
J3KPP0;Q9Y6G3;A6NCI0	J3KPP0;Q9Y6G3;A6NCI0	3;3;3	3;3;3	3;3;3	39S ribosomal protein L42, mitochondrial	MRPL42	>tr|J3KPP0|J3KPP0_HUMAN 39S ribosomal protein L42, mitochondrial OS=Homo sapiens GN=MRPL42 PE=4 SV=1;>sp|Q9Y6G3|RM42_HUMAN 39S ribosomal protein L42, mitochondrial OS=Homo sapiens GN=MRPL42 PE=1 SV=1;>tr|A6NCI0|A6NCI0_HUMAN 39S ribosomal protein L42, mitoc	3	3	3	3	3	2	2	3	2	2	3	2	2	54	54	54	16.204	139	139;142;142	1	11	0	By MS/MS	By MS/MS	By MS/MS	0.88837	1.0255	18.07	10	0	Median	0.70543	1.1075	21.089	10	0	Median	0.79852	0.907	15.11	10	0	Median	0.88837	1.297	11.493	4	0	Median	0.70543	1.2932	7.4705	4	0	Median	0.81284	0.89826	11.293	4	0	Median	1.8984	0.90361	2.1326	3	0	Median	1.5957	1.1035	2.4546	3	0	Median	0.82198	1.1627	10.678	3	0	Median	0.68267	1.0153	2.654	3	0	Median	0.42631	0.76359	7.4149	3	0	Median	0.60274	0.87019	5.6701	3	0	Median	54	27.3	27.3	410960000	146790000	148670000	115500000	95295000	34829000	30900000	29567000	134350000	29508000	58188000	46657000	181310000	82454000	59586000	39271000				7	5597;5821;6150	True;True;True	5790;6020;6355;6356	22050;22051;22052;22053;22054;22055;22876;24079;24080;24081;24082	52263;52264;52265;52266;52267;52268;52269;52270;52271;52272;52273;52274;52275;52276;52277;52278;52279;52280;52281;52282;52283;52284;52285;52286;52287;52288;52289;52290;52291;52292;52293;52294;53937;57011;57012;57013;57014;57015;57016;57017;57018;57019;57020;57021	52283;53937;57012	0	108
P79522-2;P79522;A6NDA2	P79522-2;P79522;A6NDA2	1;1;1	1;1;1	1;1;1	Proline-rich protein 3	PRR3	>sp|P79522-2|PRR3_HUMAN Isoform 2 of Proline-rich protein 3 OS=Homo sapiens GN=PRR3;>sp|P79522|PRR3_HUMAN Proline-rich protein 3 OS=Homo sapiens GN=PRR3 PE=2 SV=2;>tr|A6NDA2|A6NDA2_HUMAN Proline-rich protein 3 OS=Homo sapiens GN=PRR3 PE=2 SV=2	3	1	1	1	1	1	1	1	1	1	1	1	1	9	9	9	18.644	167	167;188;253	1	3	0	By MS/MS	By matching	By matching	1.2076	1.0751	38.239	3	0	Median	0.71716	1.1061	28.578	3	0	Median	0.5949	0.77025	13.782	3	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	9	9	9	18785000	6404800	7354500	5025200	4320600	1915200	1435100	970240	4304300	989070	1912900	1402300	10160000	3500600	4006500	2652600				8	4396	True	4550	17201;17202;17203	40814	40814		
Q9HBD1;Q9HBD1-2;Q9HBD1-3;A6NHN2;Q4VXB0;Q9HBD1-4;Q9HBD1-5	Q9HBD1;Q9HBD1-2;Q9HBD1-3;A6NHN2;Q4VXB0;Q9HBD1-4;Q9HBD1-5	2;2;2;2;2;2;1	2;2;2;2;2;2;1	1;1;1;1;1;1;1	RING finger and CCCH-type zinc finger domain-containing protein 2	RC3H2	>sp|Q9HBD1|RC3H2_HUMAN RING finger and CCCH-type zinc finger domain-containing protein 2 OS=Homo sapiens GN=RC3H2 PE=1 SV=2;>sp|Q9HBD1-2|RC3H2_HUMAN Isoform 2 of RING finger and CCCH-type zinc finger domain-containing protein 2 OS=Homo sapiens GN=RC3H2;>sp	7	2	2	1	1	0	2	1	0	2	0	0	1	2.3	2.3	1.3	131.67	1191	1191;478;506;506;935;1064;218	1	3	0	By MS/MS	By matching	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	1	0	2.3	1208500	962790	0	245690	245690	0	0	245690	0	0	0	0	962790	962790	0	0				9	3838;5967	True;True	3936;6168	14670;23347;23348	34504;55088;55089	34504;55089		
